id,artist,title,album,year,duration_s,format,path
8n1XIy3keB0trnrdf4TY37,MC ORSEN,Warning (slowed reverb),MC ORSEN,,140,mp3,MC ORSEN/MC ORSEN/Warning (slowed reverb).mp3
YTMRviaxSMDRsAz21HKdlg,mc orsen Austrian Painter,warning (slowed + reverb),mc orsen Austrian Painter,,139,mp3,mc orsen Austrian Painter/mc orsen Austrian Painter/warning (slowed + reverb).mp3
EeltOV5DcwF8XfbYruwcNB,meerazi,Wiwiwi Cat,meerazi,,143,mp3,meerazi/meerazi/Wiwiwi Cat.mp3
BwofS5FjmJcjECJ5kbMVfX,Melosense,Lost in Gruvv,Melosense,,172,mp3,Melosense/Melosense/Lost in Gruvv.mp3
b1Yqoc1iziknWowU4PZkGa,Mememetal,Тля,Mememetal,,160,mp3,Mememetal/Mememetal/Тля.mp3
Ve2F3KjuEeWwuIS5qIiqAv,Memlite,Братишка Eye-joe,The Ultimate Vanessa-Mae Collection,2003,52,mp3,Vanessa-Mae/The Ultimate Vanessa-Mae Collection/04 - Братишка Eye-joe.mp3
YllOKxME5yMQGLNR49ladt,Men At Work,Down Under,Men At Work,,219,mp3,Men At Work/Men At Work/Down Under.mp3
1RtJejJDNBoNsMQOSDe3Y0,Meranda,Eldfell,Meranda,,341,mp3,Meranda/Meranda/Eldfell.mp3
jveMSKq96Ks7Q5xw9KvPbv,Metallica,Enter Sandman,Metallica,,331,mp3,Metallica/Metallica/Enter Sandman.mp3
Tz0taZV28loBkDcO6Grqik,Metallica,Master Of Puppets,Metallica,,515,mp3,Metallica/Metallica/Master Of Puppets.mp3
Em2EwmGYJDVYEz0cEqIqlZ,Metallica,Nothing Else Matters,Metallica,1991,388,mp3,Metallica/Metallica/Nothing Else Matters.mp3
fblyvc0E9SQNNYDJaXcm6V,Michael Cretu,Sword Of Fear (1985),Michael Cretu,,234,mp3,Michael Cretu/Michael Cretu/Sword Of Fear (1985).mp3
K2rtxC1y9klLwVVOTjLd4q,Michael Hunter,Soviet Connection (Remix),Michael Hunter,,124,mp3,Michael Hunter/Michael Hunter/Soviet Connection (Remix).mp3
7hozMuM1YHJSOCzr7NNeyb,Michael Jackson,Bad,Michael Jackson,,247,mp3,Michael Jackson/Michael Jackson/Bad.mp3
jl3bZmEnO2eQxhQq9j2eyj,Michael Jackson,Beat It,Michael Jackson,,258,mp3,Michael Jackson/Michael Jackson/Beat It.mp3
0iHUGfqPpX38GacJDLy6Jl,Michael Jackson,Billie Jean,Michael Jackson,,294,mp3,Michael Jackson/Michael Jackson/Billie Jean.mp3
ZNX53avlS87tAgKTmt2Sal,Michael Jackson,Smooth Criminal,Michael Jackson,,253,mp3,Michael Jackson/Michael Jackson/Smooth Criminal.mp3
cFBKslYa9k3anvTt1tuclR,Michael Jackson,Stranger In Moscow,Michael Jackson,,246,mp3,Michael Jackson/Michael Jackson/19 - Stranger In Moscow.mp3
FxhovEvc60k8heALAkUvc2,Michael Kiwanuka,Cold Little Heart,Michael Kiwanuka,,210,mp3,Michael Kiwanuka/Michael Kiwanuka/Cold Little Heart.mp3
